Date,Binance_USDT,Gate_USDT,Wallet_USDT,Total_USDT,Total_IDR,Total_with_other_usdt,Total_with_other_idr
2024-04-03 15:05:44.005233,15670.0234468918,2187.81478044,0.0006324991317586624,17857.838859830932,285546843.36869663,18763.288859830933,300024988.86869663
2024-04-03 15:14:44.596958,15648.873257017804,2180.72648946,0.0006322861135186228,17829.600378763917,285023991.65492,18736.675378763917,299524492.60491997
2024-04-03 16:00:23.594255,15974.671992,2184.63568206,0.0006414363024241076,18159.308315496302,290367339.9647859,19083.933315496302,305152093.7147859
2024-04-03 16:09:05.985728,15960.465583794,2184.22924019,0.0006425877523702676,18144.695466571753,290079246.42408264,19068.995466571752,304856030.5240826
2024-04-03 21:14:48.000563,15727.4071967298,2171.72422072,0.0006446047088592913,17899.13206205451,286314516.4646239,18807.50706205451,300844882.9646239
2024-04-04 11:16:17.122204,15343.8183253044,2097.45337897,0.0006273483123328399,17441.272331622713,279042916.0336318,18314.222331622714,293009243.0836318
2024-04-04 13:30:02.955794,15526.510377067201,2114.54097028,0.000633806027447554,17641.05198115323,282274472.7504328,18528.30198115323,296471360.0004328
2024-04-04 21:07:18.831808,15764.034810107802,2146.05422104,0.000646807816422944,17910.089677955617,286203233.0537308,18829.189677955615,300890451.0537307
2024-04-05 04:49:40.626042,15535.506922197,2106.151176,0.0006359419670976808,17641.658734138968,281719648.3254652,18554.258734138966,296292957.7254652
2024-04-05 08:13:24.708407,15700.189104171,2104.42768602,0.0006374062276125476,17804.61742759723,284268521.8490174,18725.01742759723,298963628.2490174
2024-04-05 08:55:19.752221,15508.5117076,2089.23354832,0.0006334548352139752,17597.745889374833,281176783.8204311,18504.170889374833,295659642.4704311
2024-04-05 09:43:02.178822,15191.722558000001,2074.50799993,0.0006245080691323119,17266.23118243807,275655380.8276238,18151.20618243807,289784006.7026238
2024-04-05 09:50:59.889563,15191.154879487998,2063.94563522,0.0006270450971803512,17255.101141753097,275909067.25663203,18145.276141753096,290142965.50663203
2024-04-05 10:05:16.264587,15229.545134400001,2068.49628466,0.0006282330097081396,17298.042047293013,276440009.95778966,18191.792047293013,290723028.70778966
2024-04-05 10:16:34.578688,15315.835675029002,2055.62637712,0.0006301520929517397,17371.462682301095,277734945.3646299,18268.787682301096,292081377.4646299
2024-04-05 10:28:24.205132,15340.720621149001,2061.18788636,0.0006319521930342364,17401.909139461193,277595254.592685,18300.534139461193,291930120.592685
2024-04-05 10:40:07.056918,15357.4174169653,2056.8732492,0.0006324281256786491,17414.291298593424,278437103.57321024,18314.866298593424,292836397.24821025
2024-04-05 11:13:06.271884,15401.353019360002,2052.9258009,0.0006360494357593225,17454.27945630944,279076474.22693163,18355.504456309438,293486160.7519316
2024-04-05 13:13:48.633065,15223.3195527,2017.9502984,0.0006293787024045687,17241.270480478703,275101711.78651816,18128.195480478702,289253487.08651817
2024-04-05 14:10:38.221256,15080.263190029797,2014.15363222,0.000630159769284714,17094.417452409565,272826902.54045665,17974.192452409567,286868111.5404567
2024-04-05 14:16:51.650246,15118.673623995,2014.01922707,0.0006303113768609584,17132.693481376376,273437787.96276695,18017.018481376377,287551614.962767
2024-04-05 15:22:32.078749,15245.938079378402,2027.20517743,0.0006343491280054928,17273.14389115753,275852107.94178575,18165.26889115753,290099344.19178575
2024-04-06 03:39:59.387346,15647.029270578802,2031.43513735,0.0006411925788521704,17678.46504912138,283527222.4578087,18571.24004912138,297845547.9078087
2024-04-07 11:08:10.757092,15914.2182822368,2109.00377175,0.00065095303622912,18023.222704939835,290408187.4446956,18959.222704939835,305489955.4446956
2024-04-07 14:07:40.657332,15920.25861664,2099.85333223,0.0006498917831954091,18020.11259876178,290628375.99283004,18948.637598761783,305603627.19283
2024-04-07 16:01:54.455447,15968.1722417344,2098.69074881,0.0006510259613923768,18066.863641570362,290623568.5383009,19002.53864157036,305674836.5883008
